Aaron Powell,2026-08-12 20:04:37.8528040,756944.65000000,756944.65000000,3,NULL,2254.09800000
Aaron Powell,2026-08-12 20:04:39.4588881,2254.09800000,759198.74800000,8,756944.65000000,300479.92000000
Aaron Powell,2026-08-12 20:04:41.2902723,300479.92000000,1059678.66800000,5,2254.09800000,256906.93000000
Aaron Powell,2026-08-12 20:04:41.9751631,256906.93000000,1316585.59800000,6,300479.92000000,3750047.52000000
Aaron Powell,2026-08-12 20:04:44.4756269,3750047.52000000,5066633.11800000,1,256906.93000000,2217613.77000000
Aaron Powell,2026-08-12 20:04:51.4963390,2217613.77000000,7284246.88800000,2,3750047.52000000,460991.51000000
Aaron Powell,2026-08-12 20:04:54.5083943,460991.51000000,7745238.39800000,4,2217613.77000000,210491.97000000
Aaron Powell,2026-08-12 20:04:55.0264999,210491.97000000,7955730.36800000,7,460991.51000000,NULL
Abraham Pitts,2026-08-12 20:04:34.4590541,446319.95000000,446319.95000000,8,NULL,228104.97000000
Abraham Pitts,2026-08-12 20:04:36.3311133,228104.97000000,674424.92000000,12,446319.95000000,2542007.96850000
Abraham Pitts,2026-08-12 20:04:36.9886086,2542007.96850000,3216432.88850000,1,228104.97000000,674330.79000000
Abraham Pitts,2026-08-12 20:04:37.5632762,674330.79000000,3890763.67850000,5,2542007.96850000,235563.53000000
Abraham Pitts,2026-08-12 20:04:38.7057803,235563.53000000,4126327.20850000,11,674330.79000000,1074163.72000000
Abraham Pitts,2026-08-12 20:04:42.2522709,1074163.72000000,5200490.92850000,3,235563.53000000,520389.90000000
Abraham Pitts,2026-08-12 20:04:42.9046229,520389.90000000,5720880.82850000,6,1074163.72000000,300464.55000000
Abraham Pitts,2026-08-12 20:04:43.8674835,300464.55000000,6021345.37850000,10,520389.90000000,986489.70000000
Abraham Pitts,2026-08-12 20:04:44.3612340,986489.70000000,7007835.07850000,4,300464.55000000,27119.76000000
Abraham Pitts,2026-08-12 20:04:44.4184321,27119.76000000,7034954.83850000,13,986489.70000000,18993.98000000
Abraham Pitts,2026-08-12 20:04:48.7660686,18993.98000000,7053948.81850000,14,27119.76000000,443495.94000000
Abraham Pitts,2026-08-12 20:04:49.7951537,443495.94000000,7497444.75850000,9,18993.98000000,4183.96000000
Abraham Pitts,2026-08-12 20:04:50.3050946,4183.96000000,7501628.71850000,15,443495.94000000,509201.91000000
Abraham Pitts,2026-08-12 20:04:50.7087043,509201.91000000,8010830.62850000,7,4183.96000000,1148060.83000000
Abraham Pitts,2026-08-12 20:04:50.8186599,1148060.83000000,9158891.45850000,2,509201.91000000,NULL
Adam Coleman,2026-08-12 20:04:35.2222638,124193.79000000,124193.79000000,14,NULL,442823.92000000
Adam Coleman,2026-08-12 20:04:35.8867576,442823.92000000,567017.71000000,10,124193.79000000,247046.97000000
Adam Coleman,2026-08-12 20:04:36.1190736,247046.97000000,814064.68000000,11,442823.92000000,792811.66000000
Adam Coleman,2026-08-12 20:04:36.2495605,792811.66000000,1606876.34000000,6,247046.97000000,1895324.75000000
Adam Coleman,2026-08-12 20:04:37.5388164,1895324.75000000,3502201.09000000,2,792811.66000000,1163377.66000000
Adam Coleman,2026-08-12 20:04:42.5866160,1163377.66000000,4665578.75000000,4,1895324.75000000,148262.04050000
Adam Coleman,2026-08-12 20:04:43.7735976,148262.04050000,4813840.79050000,13,1163377.66000000,183745.27350000
Adam Coleman,2026-08-12 20:04:44.1082990,183745.27350000,4997586.06400000,12,148262.04050000,664647.92000000
Adam Coleman,2026-08-12 20:04:46.2992606,664647.92000000,5662233.98400000,8,183745.27350000,960867.53000000
Adam Coleman,2026-08-12 20:04:48.0438612,960867.53000000,6623101.51400000,5,664647.92000000,776279.85000000
Adam Coleman,2026-08-12 20:04:48.4600116,776279.85000000,7399381.36400000,7,960867.53000000,2529837.63000000
Adam Coleman,2026-08-12 20:04:53.3813351,2529837.63000000,9929218.99400000,1,776279.85000000,472469.95000000
Adam Coleman,2026-08-12 20:04:54.3572734,472469.95000000,10401688.94400000,9,2529837.63000000,1280304.87000000
Adam Coleman,2026-08-12 20:04:54.4145350,1280304.87000000,11681993.81400000,3,472469.95000000,NULL
Adrian Pacheco,2026-08-12 20:04:39.8379623,695287.56000000,695287.56000000,5,NULL,1666339.83000000
Adrian Pacheco,2026-08-12 20:04:41.2984381,1666339.83000000,2361627.39000000,3,695287.56000000,2347028.73000000
Adrian Pacheco,2026-08-12 20:04:42.4559407,2347028.73000000,4708656.12000000,2,1666339.83000000,172255.92000000
Adrian Pacheco,2026-08-12 20:04:43.5450565,172255.92000000,4880912.04000000,7,2347028.73000000,2393035.57000000
Adrian Pacheco,2026-08-12 20:04:47.8601054,2393035.57000000,7273947.61000000,1,172255.92000000,1448901.74000000
Adrian Pacheco,2026-08-12 20:04:50.3621709,1448901.74000000,8722849.35000000,4,2393035.57000000,416679.92000000
Adrian Pacheco,2026-08-12 20:04:53.4954770,416679.92000000,9139529.27000000,6,1448901.74000000,NULL
Agnes Farrell,2026-08-12 20:04:37.4246303,1521449.54000000,1521449.54000000,5,NULL,84215.78000000
Agnes Farrell,2026-08-12 20:04:38.5794044,84215.78000000,1605665.32000000,9,1521449.54000000,486506.79000000
Agnes Farrell,2026-08-12 20:04:39.4507442,486506.79000000,2092172.11000000,8,84215.78000000,3143123.64000000
Agnes Farrell,2026-08-12 20:04:44.0837876,3143123.64000000,5235295.75000000,1,486506.79000000,1765589.17050000
Agnes Farrell,2026-08-12 20:04:46.3074551,1765589.17050000,7000884.92050000,3,3143123.64000000,1661435.82000000
Agnes Farrell,2026-08-12 20:04:46.8947393,1661435.82000000,8662320.74050000,4,1765589.17050000,1141939.80000000
Agnes Farrell,2026-08-12 20:04:47.4885634,1141939.80000000,9804260.54050000,6,1661435.82000000,901196.89000000
Agnes Farrell,2026-08-12 20:04:50.6108260,901196.89000000,10705457.43050000,7,1141939.80000000,2304927.68000000
Agnes Farrell,2026-08-12 20:04:52.8632606,2304927.68000000,13010385.11050000,2,901196.89000000,NULL
Aida Lindsey,2026-08-12 20:04:33.9815075,1128892.53000000,1128892.53000000,3,NULL,4394264.53000000
Aida Lindsey,2026-08-12 20:04:39.6952087,4394264.53000000,5523157.06000000,1,1128892.53000000,624375.66000000
Aida Lindsey,2026-08-12 20:04:44.5123850,624375.66000000,6147532.72000000,4,4394264.53000000,454166.79000000
Aida Lindsey,2026-08-12 20:04:51.2716042,454166.79000000,6601699.51000000,5,624375.66000000,3112523.64000000
Aida Lindsey,2026-08-12 20:04:52.0963986,3112523.64000000,9714223.15000000,2,454166.79000000,434844.95000000
Aida Lindsey,2026-08-12 20:04:54.4757960,434844.95000000,10149068.10000000,6,3112523.64000000,NULL
Aiden Schmidt,2026-08-12 20:04:39.2180601,616134.87000000,616134.87000000,5,NULL,423167.52000000
Aiden Schmidt,2026-08-12 20:04:40.3435529,423167.52000000,1039302.39000000,6,616134.87000000,1019347.56000000
Aiden Schmidt,2026-08-12 20:04:40.7352938,1019347.56000000,2058649.95000000,3,423167.52000000,695599.60000000
Aiden Schmidt,2026-08-12 20:04:41.7754785,695599.60000000,2754249.55000000,4,1019347.56000000,1310672.79000000
Aiden Schmidt,2026-08-12 20:04:46.1399988,1310672.79000000,4064922.34000000,2,695599.60000000,2563747.56000000
Aiden Schmidt,2026-08-12 20:04:53.9120335,2563747.56000000,6628669.90000000,1,1310672.79000000,NULL
Aileen Lindsey,2026-08-12 20:04:33.9978480,2644944.71000000,2644944.71000000,2,NULL,3394431.54000000
Aileen Lindsey,2026-08-12 20:04:35.1406477,3394431.54000000,6039376.25000000,1,2644944.71000000,1958672.69000000
