1,Jeannie Krause,Advanced,Docker
1,Jeannie Krause,Advanced,Project Management
1,Jeannie Krause,Expert,Python
1,Jeannie Krause,Intermediate,Vue
2,Tyler Foster,Advanced,Kubernetes
2,Tyler Foster,Advanced,Project Management
2,Tyler Foster,Expert,T-SQL
2,Tyler Foster,Intermediate,Node.js
3,Raymond Ruiz,Advanced,PowerShell
3,Raymond Ruiz,Advanced,Project Management
3,Raymond Ruiz,Expert,T-SQL
3,Raymond Ruiz,Intermediate,React
4,Dewayne Trevino,Advanced,PowerShell
4,Dewayne Trevino,Advanced,Project Management
4,Dewayne Trevino,Expert,Data Modeling
4,Dewayne Trevino,Intermediate,Vue
5,Esperanza Middleton,Advanced,Kubernetes
5,Esperanza Middleton,Advanced,Project Management
5,Esperanza Middleton,Expert,Data Modeling
5,Esperanza Middleton,Intermediate,Vue
6,Gary Stewart,Advanced,Azure
6,Gary Stewart,Advanced,Project Management
6,Gary Stewart,Expert,Cloud Architecture
6,Gary Stewart,Intermediate,Vue
7,Wayne Wagner,Advanced,Kubernetes
7,Wayne Wagner,Advanced,Project Management
7,Wayne Wagner,Expert,T-SQL
7,Wayne Wagner,Intermediate,Go
8,Rocco Parrish,Advanced,Docker
8,Rocco Parrish,Advanced,Project Management
8,Rocco Parrish,Expert,Cloud Architecture
8,Rocco Parrish,Intermediate,Vue
9,Miriam Berg,Advanced,PowerShell
9,Miriam Berg,Advanced,Project Management
9,Miriam Berg,Expert,T-SQL
9,Miriam Berg,Intermediate,Angular
10,Joe Kim,Advanced,Kubernetes
10,Joe Kim,Advanced,Project Management
10,Joe Kim,Expert,C#
10,Joe Kim,Intermediate,Go
11,Jana Castaneda,Advanced,ETL
11,Jana Castaneda,Expert,Python
11,Jana Castaneda,Intermediate,React
12,Ashley Robinson,Advanced,Azure
12,Ashley Robinson,Expert,Data Modeling
12,Ashley Robinson,Intermediate,Go
13,Olive Bean,Advanced,ETL
13,Olive Bean,Expert,Python
13,Olive Bean,Intermediate,Vue
14,Antoinette Brennan,Advanced,Azure
