1,Jeannie Krause,Marketing
2,Tyler Foster,Operations
3,Raymond Ruiz,Legal
4,Dewayne Trevino,Operations
5,Esperanza Middleton,Legal
6,Gary Stewart,Finance
7,Wayne Wagner,Finance
8,Rocco Parrish,Engineering
9,Miriam Berg,Engineering
10,Joe Kim,Engineering
11,Jana Castaneda,HR
12,Ashley Robinson,Engineering
13,Olive Bean,Legal
14,Antoinette Brennan,Operations
15,Tommy Oneal,Engineering
16,Cesar Parrish,Legal
17,Rocco Parrish,HR
18,Lorna Downs,Engineering
19,Ryan Cruz,IT
20,Hector Lambert,Finance
21,Jose Sullivan,Engineering
22,Alberta York,Operations
23,Elvira Mclean,Finance
24,Kevin Green,Customer Success
25,Ollie Paul,HR
26,Winifred Bender,Legal
27,Patricia Davis,Legal
28,Rufus Sutton,IT
29,Bonnie Hale,HR
30,Darlene Soto,Finance
31,Trevor Greer,HR
32,Raymond Ruiz,Marketing
33,Sondra Bean,Engineering
34,Doris Orr,HR
35,Salvador Larsen,Finance
36,Esperanza Middleton,Legal
37,Lillian Berry,Operations
38,Lena Aguilar,R&D
39,Tracey Johnston,IT
40,Arlene Moon,Engineering
41,Corey Howell,Engineering
42,Rolando Herman,IT
43,Leila Roth,Customer Success
44,Jeffrey Diaz,Customer Success
45,Fabian Joseph,HR
46,Scott Howard,HR
47,Nelson Huff,Legal
48,Adrian Pacheco,Sales
49,Elias Klein,Sales
50,Samantha Richardson,Legal
