1,Jeannie Krause,Marketing,Engineer,155385.00,0,Jeannie Krause,155385.00,Jeannie Krause
10,Joe Kim,Engineering,VP,75063.00,1,Jeannie Krause > Joe Kim,230448.00,  Joe Kim
52,Paula Wheeler,HR,Analyst,122620.00,2,Jeannie Krause > Joe Kim > Paula Wheeler,353068.00,    Paula Wheeler
3107,Alonzo Parrish,Legal,VP,190217.00,3,Jeannie Krause > Joe Kim > Paula Wheeler > Alonzo Parrish,543285.00,      Alonzo Parrish
4168,Mona Bender,Legal,Analyst,207544.00,3,Jeannie Krause > Joe Kim > Paula Wheeler > Mona Bender,560612.00,      Mona Bender
726,Tracy Alvarez,Engineering,Architect,89653.00,3,Jeannie Krause > Joe Kim > Paula Wheeler > Tracy Alvarez,442721.00,      Tracy Alvarez
741,Ina Savage,Finance,Analyst,223915.00,3,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage,576983.00,      Ina Savage
1202,Samantha Richardson,Engineering,Director,165267.00,4,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Samantha Richardson,742250.00,        Samantha Richardson
1472,Morgan Hansen,IT,Engineer,91966.00,4,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Morgan Hansen,668949.00,        Morgan Hansen
1801,Monica Stanley,R&D,Architect,133036.00,5,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Morgan Hansen > Monica Stanley,801985.00,          Monica Stanley
2311,Paul Allen,Operations,Engineer,188565.00,6,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Morgan Hansen > Monica Stanley > Paul Allen,990550.00,            Paul Allen
2884,Colin Bowers,Legal,Director,233096.00,7,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Morgan Hansen > Monica Stanley > Paul Allen > Colin Bowers,1223646.00,              Colin Bowers
4335,Emmett Barber,Marketing,VP,61270.00,5,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Morgan Hansen > Emmett Barber,730219.00,          Emmett Barber
4073,Cathy Hobbs,Finance,Engineer,163191.00,4,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Cathy Hobbs,740174.00,        Cathy Hobbs
962,Christina Ellis,Legal,Engineer,126271.00,4,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis,703254.00,        Christina Ellis
1006,Jason Sims,R&D,Consultant,170792.00,5,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims,874046.00,          Jason Sims
1129,Inez Rollins,IT,VP,199616.00,6,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Inez Rollins,1073662.00,            Inez Rollins
1290,Kathy Cole,Engineering,Specialist,59548.00,7,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Inez Rollins > Kathy Cole,1133210.00,              Kathy Cole
1770,Marsha Fleming,HR,Coordinator,194083.00,8,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Inez Rollins > Kathy Cole > Marsha Fleming,1327293.00,                Marsha Fleming
4067,Angelo Nolan,Operations,Analyst,248651.00,7,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Inez Rollins > Angelo Nolan,1322313.00,              Angelo Nolan
4619,Andre Hampton,Operations,Director,93020.00,7,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Inez Rollins > Andre Hampton,1166682.00,              Andre Hampton
4731,Lyman Ware,R&D,Specialist,197594.00,8,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Inez Rollins > Andre Hampton > Lyman Ware,1364276.00,                Lyman Ware
1766,Garry Huff,Customer Success,Specialist,218599.00,6,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Garry Huff,1092645.00,            Garry Huff
3559,Jane Ryan,R&D,Analyst,104602.00,7,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Garry Huff > Jane Ryan,1197247.00,              Jane Ryan
3655,Dewayne Trevino,Finance,Manager,65523.00,8,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Garry Huff > Jane Ryan > Dewayne Trevino,1262770.00,                Dewayne Trevino
3578,Gustavo Pitts,Finance,Senior Engineer,57624.00,7,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Garry Huff > Gustavo Pitts,1150269.00,              Gustavo Pitts
2972,Lanny Rubio,Legal,VP,231727.00,6,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Lanny Rubio,1105773.00,            Lanny Rubio
3234,Eddie Barber,Customer Success,VP,138684.00,7,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Lanny Rubio > Eddie Barber,1244457.00,              Eddie Barber
4075,Jenny Hardin,IT,Coordinator,117041.00,7,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Jason Sims > Lanny Rubio > Jenny Hardin,1222814.00,              Jenny Hardin
1830,Elena Lyons,Marketing,VP,110981.00,5,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Elena Lyons,814235.00,          Elena Lyons
2915,Ronald Carter,R&D,Consultant,101200.00,6,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Elena Lyons > Ronald Carter,915435.00,            Ronald Carter
3406,Clifford Doyle,Marketing,Engineer,81354.00,6,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Elena Lyons > Clifford Doyle,895589.00,            Clifford Doyle
3259,Reba Tyler,Sales,Coordinator,112192.00,5,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Reba Tyler,815446.00,          Reba Tyler
3579,Nora Andersen,Operations,Analyst,161349.00,5,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Nora Andersen,864603.00,          Nora Andersen
4036,Effie Hale,HR,Engineer,231075.00,5,Jeannie Krause > Joe Kim > Paula Wheeler > Ina Savage > Christina Ellis > Effie Hale,934329.00,          Effie Hale
11,Jana Castaneda,HR,Engineer,230963.00,1,Jeannie Krause > Jana Castaneda,386348.00,  Jana Castaneda
1746,Mable Norton,R&D,Coordinator,136836.00,2,Jeannie Krause > Jana Castaneda > Mable Norton,523184.00,    Mable Norton
3233,Lynnette Donaldson,Engineering,Coordinator,203801.00,3,Jeannie Krause > Jana Castaneda > Mable Norton > Lynnette Donaldson,726985.00,      Lynnette Donaldson
4339,Mariah Jimenez,R&D,Architect,150900.00,4,Jeannie Krause > Jana Castaneda > Mable Norton > Lynnette Donaldson > Mariah Jimenez,877885.00,        Mariah Jimenez
19,Ryan Cruz,IT,Consultant,217651.00,2,Jeannie Krause > Jana Castaneda > Ryan Cruz,603999.00,    Ryan Cruz
120,Andre Hampton,Sales,Manager,197552.00,3,Jeannie Krause > Jana Castaneda > Ryan Cruz > Andre Hampton,801551.00,      Andre Hampton
3041,Rudy Black,Marketing,Architect,231528.00,4,Jeannie Krause > Jana Castaneda > Ryan Cruz > Andre Hampton > Rudy Black,1033079.00,        Rudy Black
4202,Ronald Carter,Operations,Manager,245606.00,5,Jeannie Krause > Jana Castaneda > Ryan Cruz > Andre Hampton > Rudy Black > Ronald Carter,1278685.00,          Ronald Carter
26,Winifred Bender,Legal,Specialist,174349.00,3,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender,778348.00,      Winifred Bender
113,Leola Olsen,Engineering,Architect,98552.00,4,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen,876900.00,        Leola Olsen
1791,Robert Johnson,Finance,Coordinator,78502.00,5,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen > Robert Johnson,955402.00,          Robert Johnson
2386,Raul Morse,R&D,Architect,141668.00,6,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen > Robert Johnson > Raul Morse,1097070.00,            Raul Morse
2501,Fernando Glass,Operations,Consultant,234956.00,6,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen > Robert Johnson > Fernando Glass,1190358.00,            Fernando Glass
316,Maureen Fields,Customer Success,Engineer,173630.00,5,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen > Maureen Fields,1050530.00,          Maureen Fields
2536,Billy Hawkins,R&D,Specialist,234735.00,6,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen > Maureen Fields > Billy Hawkins,1285265.00,            Billy Hawkins
406,Connie Gross,Marketing,Senior Engineer,246882.00,6,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen > Maureen Fields > Connie Gross,1297412.00,            Connie Gross
448,Jackie Higgins,IT,Senior Engineer,222108.00,6,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen > Maureen Fields > Jackie Higgins,1272638.00,            Jackie Higgins
1044,Essie Orr,Sales,Engineer,247599.00,7,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen > Maureen Fields > Jackie Higgins > Essie Orr,1520237.00,              Essie Orr
1904,Zachary Romero,Engineering,Coordinator,145461.00,8,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen > Maureen Fields > Jackie Higgins > Essie Orr > Zachary Romero,1665698.00,                Zachary Romero
4898,Lillie Castaneda,Legal,Consultant,244265.00,9,Jeannie Krause > Jana Castaneda > Ryan Cruz > Winifred Bender > Leola Olsen > Maureen Fields > Jackie Higgins > Essie Orr > Zachary Romero > Lillie Castaneda,1909963.00,                  Lillie Castaneda
