3,Raymond Ruiz,2026,Q3,150611.89000000
4,Dewayne Trevino,2026,Q3,3660005.16000000
5,Esperanza Middleton,2026,Q3,2583476.55000000
6,Gary Stewart,2026,Q3,1457543.67000000
9,Miriam Berg,2026,Q3,1704200.79000000
10,Joe Kim,2026,Q3,242741.88000000
12,Ashley Robinson,2026,Q3,1281733.68000000
13,Olive Bean,2026,Q3,3222856.20900000
15,Tommy Oneal,2026,Q3,312064.95000000
19,Ryan Cruz,2026,Q3,257559.72000000
23,Elvira Mclean,2026,Q3,2950455.69000000
24,Kevin Green,2026,Q3,1373449.74000000
25,Ollie Paul,2026,Q3,1391544.61000000
26,Winifred Bender,2026,Q3,97715.83000000
27,Patricia Davis,2026,Q3,3558933.32000000
28,Rufus Sutton,2026,Q3,75885.62000000
29,Bonnie Hale,2026,Q3,1844985.78000000
30,Darlene Soto,2026,Q3,34505.91000000
33,Sondra Bean,2026,Q3,193913.98000000
34,Doris Orr,2026,Q3,718176.69000000
35,Salvador Larsen,2026,Q3,4548533.25000000
36,Esperanza Middleton,2026,Q3,854229.89000000
37,Lillian Berry,2026,Q3,938463.68000000
38,Lena Aguilar,2026,Q3,1119711.56000000
39,Tracey Johnston,2026,Q3,2166975.30000000
40,Arlene Moon,2026,Q3,4758799.50000000
41,Corey Howell,2026,Q3,167880.93000000
42,Rolando Herman,2026,Q3,3274687.62000000
46,Scott Howard,2026,Q3,2027889.51000000
47,Nelson Huff,2026,Q3,267539.88000000
51,Jodie Wiggins,2026,Q3,3460137.52000000
52,Paula Wheeler,2026,Q3,2362087.26000000
54,Mateo Sherman,2026,Q3,1889439.60000000
55,Christian Carpenter,2026,Q3,909760.72050000
56,Matthew Thompson,2026,Q3,2037347.69400000
57,Brittany Arnold,2026,Q3,407910.62250000
59,Brittany Arnold,2026,Q3,1400993.58000000
61,Johnnie Valencia,2026,Q3,1467218.83000000
63,Roger Gibson,2026,Q3,983438.70000000
64,Nicholas Morales,2026,Q3,1065830.79000000
67,Steven Walker,2026,Q3,1846409.70000000
70,Joyce Butler,2026,Q3,5041265.88150000
71,Teresa Alexander,2026,Q3,2008911.54000000
72,Bobby Cervantes,2026,Q3,5032750.37500000
73,Candy Wolf,2026,Q3,4725749.50000000
74,Lamont Velez,2026,Q3,3141183.68000000
75,Cyrus Fuentes,2026,Q3,4238478.99000000
76,Kristine Ashley,2026,Q3,3376849.55000000
80,Manuel Klein,2026,Q3,3310899.32000000
81,Stella Delgado,2026,Q3,3947047.22000000
