1,Jeannie Krause,<Skill level="Expert">Python</Skill><Skill level="Advanced">Docker</Skill><Skill level="Intermediate">Vue</Skill><Skill level="Advanced">Project Management</Skill>
2,Tyler Foster,<Skill level="Expert">T-SQL</Skill><Skill level="Advanced">Kubernetes</Skill><Skill level="Intermediate">Node.js</Skill><Skill level="Advanced">Project Management</Skill>
3,Raymond Ruiz,<Skill level="Expert">T-SQL</Skill><Skill level="Advanced">PowerShell</Skill><Skill level="Intermediate">React</Skill><Skill level="Advanced">Project Management</Skill>
4,Dewayne Trevino,<Skill level="Expert">Data Modeling</Skill><Skill level="Advanced">PowerShell</Skill><Skill level="Intermediate">Vue</Skill><Skill level="Advanced">Project Management</Skill>
5,Esperanza Middleton,<Skill level="Expert">Data Modeling</Skill><Skill level="Advanced">Kubernetes</Skill><Skill level="Intermediate">Vue</Skill><Skill level="Advanced">Project Management</Skill>
6,Gary Stewart,<Skill level="Expert">Cloud Architecture</Skill><Skill level="Advanced">Azure</Skill><Skill level="Intermediate">Vue</Skill><Skill level="Advanced">Project Management</Skill>
7,Wayne Wagner,<Skill level="Expert">T-SQL</Skill><Skill level="Advanced">Kubernetes</Skill><Skill level="Intermediate">Go</Skill><Skill level="Advanced">Project Management</Skill>
8,Rocco Parrish,<Skill level="Expert">Cloud Architecture</Skill><Skill level="Advanced">Docker</Skill><Skill level="Intermediate">Vue</Skill><Skill level="Advanced">Project Management</Skill>
9,Miriam Berg,<Skill level="Expert">T-SQL</Skill><Skill level="Advanced">PowerShell</Skill><Skill level="Intermediate">Angular</Skill><Skill level="Advanced">Project Management</Skill>
10,Joe Kim,<Skill level="Expert">C#</Skill><Skill level="Advanced">Kubernetes</Skill><Skill level="Intermediate">Go</Skill><Skill level="Advanced">Project Management</Skill>
11,Jana Castaneda,<Skill level="Expert">Python</Skill><Skill level="Advanced">ETL</Skill><Skill level="Intermediate">React</Skill>
12,Ashley Robinson,<Skill level="Expert">Data Modeling</Skill><Skill level="Advanced">Azure</Skill><Skill level="Intermediate">Go</Skill>
13,Olive Bean,<Skill level="Expert">Python</Skill><Skill level="Advanced">ETL</Skill><Skill level="Intermediate">Vue</Skill>
14,Antoinette Brennan,<Skill level="Expert">Cloud Architecture</Skill><Skill level="Advanced">Azure</Skill><Skill level="Intermediate">Node.js</Skill>
15,Tommy Oneal,<Skill level="Expert">Data Modeling</Skill><Skill level="Advanced">Azure</Skill><Skill level="Intermediate">React</Skill>
16,Cesar Parrish,<Skill level="Expert">Data Modeling</Skill><Skill level="Advanced">Azure</Skill><Skill level="Intermediate">Node.js</Skill>
17,Rocco Parrish,<Skill level="Expert">Cloud Architecture</Skill><Skill level="Advanced">PowerShell</Skill><Skill level="Intermediate">Vue</Skill>
18,Lorna Downs,<Skill level="Expert">Cloud Architecture</Skill><Skill level="Advanced">Docker</Skill><Skill level="Intermediate">Node.js</Skill>
19,Ryan Cruz,<Skill level="Expert">Cloud Architecture</Skill><Skill level="Advanced">ETL</Skill><Skill level="Intermediate">React</Skill>
20,Hector Lambert,<Skill level="Expert">T-SQL</Skill><Skill level="Advanced">Azure</Skill><Skill level="Intermediate">Node.js</Skill>
