1,Lottie Duffy,933-25-4616,4000001257033556,125050.00,****-**-4616
2,Pat Moran,380-06-0189,4000001065107728,203334.00,****-**-0189
3,Alma Hutchinson,043-14-7437,4000001017440987,216218.00,****-**-7437
4,Evan Chapman,578-92-0950,4000001855903225,52687.00,****-**-0950
5,Shelley Ericksen,979-48-9177,4000001675186768,247389.00,****-**-9177
6,Tami Mclean,290-57-0950,4000001634143541,117923.00,****-**-0950
7,Randal Kaufman,233-20-3575,4000000227273904,220678.00,****-**-3575
8,Ralph Olson,762-78-7751,4000001811509701,207374.00,****-**-7751
9,Patricia Davis,413-73-3456,4000000385951306,192673.00,****-**-3456
10,Ellen Carr,669-69-8299,4000000445466832,204016.00,****-**-8299
11,Cesar Parrish,224-36-5447,4000000781808604,238646.00,****-**-5447
12,Gavin Peters,212-04-0970,4000000074789852,147497.00,****-**-0970
13,Aiden Schmidt,729-68-1317,4000001504913010,137511.00,****-**-1317
14,Elena Lyons,497-06-8490,4000000507674687,200135.00,****-**-8490
15,Forrest Brandt,733-60-3372,4000000542922019,165752.00,****-**-3372
16,Wilbert Lambert,194-27-5220,4000001468343786,92812.00,****-**-5220
17,Rex Booker,772-26-5305,4000000968841063,239729.00,****-**-5305
18,Omar Barton,054-60-4911,4000000725031075,126248.00,****-**-4911
19,Julius Wilkins,984-07-1227,4000001097528289,154946.00,****-**-1227
20,Jarrod Schneider,824-76-3088,4000001687665259,186672.00,****-**-3088
21,Moshe Stein,110-47-4927,4000000307862468,160263.00,****-**-4927
22,Russell Duncan,997-66-2048,4000000653619064,156436.00,****-**-2048
23,Lynne Hobbs,686-25-6076,4000001276008744,228313.00,****-**-6076
24,Richard Hernandez,070-30-2256,4000000746288103,221029.00,****-**-2256
25,Ethan Rose,226-72-5682,4000001320599883,117437.00,****-**-5682
26,Marcie Franco,875-48-4954,4000000898206894,161723.00,****-**-4954
27,Christian Woods,195-25-2562,4000000157772435,222923.00,****-**-2562
28,Gustavo Pitts,478-50-8890,4000000267306560,131134.00,****-**-8890
29,Sal Larsen,337-19-2888,4000001710338070,66763.00,****-**-2888
30,Agnes Farrell,143-82-5102,4000001111166224,236152.00,****-**-5102
31,Dewayne Solis,965-69-7768,4000000189434037,156182.00,****-**-7768
32,Jean McDonald,518-04-9135,4000000345252826,79493.00,****-**-9135
33,Helen Cox,862-75-1443,4000000211095330,90223.00,****-**-1443
34,Beatrice Olsen,643-40-0762,4000001486982268,191285.00,****-**-0762
35,Emma Kelly,098-03-9292,4000001084173980,206095.00,****-**-9292
36,Francisca Ware,783-94-1722,4000000961447328,203114.00,****-**-1722
37,Neil Gallagher,636-39-1439,4000001207537400,105384.00,****-**-1439
38,Gustavo Pitts,570-83-9009,4000001614466836,53882.00,****-**-9009
39,Clayton Hess,481-46-8176,4000000132935128,142737.00,****-**-8176
40,Johnnie Boyer,640-18-1491,4000000231866112,219896.00,****-**-1491
41,Lynne Hale,562-39-5723,4000002048636300,237375.00,****-**-5723
42,Fernando Glass,525-07-2973,4000001314149247,152651.00,****-**-2973
43,Grace Fox,832-35-7755,4000000095210198,165006.00,****-**-7755
44,Colleen Richards,994-57-4142,4000000510680880,53518.00,****-**-4142
45,Angelo Pacheco,212-34-7142,4000002143125480,186505.00,****-**-7142
46,Grant Sutton,511-35-8841,4000001800379816,198275.00,****-**-8841
47,Christian Carpenter,321-36-9521,4000000708088344,130612.00,****-**-9521
48,Sergio Mcgee,814-27-9127,4000002101259432,118668.00,****-**-9127
49,Jana Castaneda,012-29-3631,4000000182419446,234690.00,****-**-3631
50,Rashad Velez,587-25-8202,4000000252130131,176510.00,****-**-8202
