3667,Elvira Mclean,14736410.13000000,1
2346,Ollie Barton,12854633.77000000,1
2126,Nicholas Morales,11144358.69550000,1
3261,Cole Bennett,11010351.28000000,1
2448,Evelyn Fisher,10686142.44300000,1
181,Kyle Hamilton,10672993.49000000,1
2406,Rafael Schneider,10169763.40000000,1
2596,Justin Reed,10125597.68050000,1
2049,Rufus Sutton,9899222.48000000,1
1892,Kristine Ashley,9881817.59000000,1
2861,Elvira Salinas,9773903.80000000,1
1855,Alfonso Friedman,9636310.84000000,1
295,Rashad Villarreal,9367536.98000000,1
3228,Nettie Buckner,9278366.65000000,1
2997,Rocco Brennan,9013819.75600000,1
989,Sterling Glass,8912214.81950000,1
4023,Lamont Velez,8867956.61000000,1
3957,Beatrice Olsen,8803936.14350000,1
1283,Megan Simmons,8657453.30450000,1
1922,Scott Howard,8470543.74000000,1
3272,Lula Charles,8425188.28550000,1
2516,Mildred Snyder,7842384.12000000,1
4822,Rex Booker,7803990.86000000,1
808,Gretchen Barrera,7793126.01000000,1
621,Faye Higgins,7758885.93000000,1
2993,Omar Barton,7741259.72000000,1
1775,Cynthia Edwards,7723298.63000000,1
4842,Dana Garza,7701941.15000000,1
2058,Ronald Carter,7664092.02000000,1
4402,Ruby Stone,7620756.12000000,1
1345,Jason Sims,7516527.09000000,1
2679,Minnie Cisneros,7477859.96000000,1
519,Lynnette Donaldson,7451912.86000000,1
2230,Madeline Mays,7446702.10500000,1
772,Lorna Downs,7436776.65000000,1
3614,Agnes Farrell,7360399.26050000,1
2640,Lucile Sheppard,7349372.12000000,1
3083,Dylan Bradley,7346692.79000000,1
3262,Leigh Leach,7337414.93000000,1
4770,Ian Morrison,7337214.87000000,1
4196,Rocco Parrish,7317352.73000000,1
2967,Johnnie Hobbs,7248251.77800000,1
2651,Carlos Graves,7210701.06000000,1
4107,Timothy Gomez,7195645.62000000,1
4724,Theresa Austin,7141818.98000000,1
980,Cameron Montgomery,7141800.97000000,1
3327,Stuart Sweeney,7133537.05000000,1
2684,Tammy Franklin,7110951.10000000,1
3123,Darlene Soto,7093457.46000000,1
1575,Jason Sims,7071097.89300000,1
