1,Jeannie Krause,jeannie.krause1@corp.com,155385.00
2,Tyler Foster,tyler.foster2@corp.com,116740.00
3,Raymond Ruiz,raymond.ruiz3@corp.com,247336.00
4,Dewayne Trevino,dewayne.trevino4@corp.com,175508.00
5,Esperanza Middleton,esperanza.middleton5@corp.com,117084.00
6,Gary Stewart,gary.stewart6@corp.com,125911.00
7,Wayne Wagner,wayne.wagner7@corp.com,160340.00
8,Rocco Parrish,rocco.parrish8@corp.com,158770.00
9,Miriam Berg,miriam.berg9@corp.com,115552.00
10,Joe Kim,joe.kim10@corp.com,75063.00
11,Jana Castaneda,jana.castaneda11@corp.com,230963.00
12,Ashley Robinson,ashley.robinson12@corp.com,74404.00
13,Olive Bean,olive.bean13@corp.com,119385.00
14,Antoinette Brennan,antoinette.brennan14@corp.com,145171.00
15,Tommy Oneal,tommy.oneal15@corp.com,68982.00
16,Cesar Parrish,cesar.parrish16@corp.com,239505.00
17,Rocco Parrish,rocco.parrish17@corp.com,177176.00
18,Lorna Downs,lorna.downs18@corp.com,181309.00
19,Ryan Cruz,ryan.cruz19@corp.com,217651.00
20,Hector Lambert,hector.lambert20@corp.com,182882.00
21,Jose Sullivan,jose.sullivan21@corp.com,118033.00
22,Alberta York,alberta.york22@corp.com,212585.00
23,Elvira Mclean,elvira.mclean23@corp.com,85982.00
24,Kevin Green,kevin.green24@corp.com,143984.00
25,Ollie Paul,ollie.paul25@corp.com,229927.00
26,Winifred Bender,winifred.bender26@corp.com,174349.00
27,Patricia Davis,patricia.davis27@corp.com,127994.00
28,Rufus Sutton,rufus.sutton28@corp.com,156080.00
29,Bonnie Hale,bonnie.hale29@corp.com,59807.00
30,Darlene Soto,darlene.soto30@corp.com,88116.00
31,Trevor Greer,trevor.greer31@corp.com,217233.00
32,Raymond Ruiz,raymond.ruiz32@corp.com,60628.00
33,Sondra Bean,sondra.bean33@corp.com,79127.00
34,Doris Orr,doris.orr34@corp.com,242992.00
35,Salvador Larsen,salvador.larsen35@corp.com,194229.00
36,Esperanza Middleton,esperanza.middleton36@corp.com,95782.00
37,Lillian Berry,lillian.berry37@corp.com,203103.00
38,Lena Aguilar,lena.aguilar38@corp.com,229425.00
39,Tracey Johnston,tracey.johnston39@corp.com,221543.00
40,Arlene Moon,arlene.moon40@corp.com,187642.00
41,Corey Howell,corey.howell41@corp.com,94563.00
42,Rolando Herman,rolando.herman42@corp.com,150405.00
43,Leila Roth,leila.roth43@corp.com,215078.00
44,Jeffrey Diaz,jeffrey.diaz44@corp.com,129540.00
45,Fabian Joseph,fabian.joseph45@corp.com,71894.00
46,Scott Howard,scott.howard46@corp.com,77253.00
47,Nelson Huff,nelson.huff47@corp.com,196148.00
48,Adrian Pacheco,adrian.pacheco48@corp.com,200292.00
49,Elias Klein,elias.klein49@corp.com,197684.00
50,Samantha Richardson,samantha.richardson50@corp.com,196711.00
