=== OP 40 ===
STATUS: PASS  exit=0  elapsed=0.11s  rows=50

--- STDERR ---


--- STDOUT (tail) ---
720,Dennis Patel,14518950.81000000,1
2909,Effie Hale,10243409.81000000,1
1156,Caleb Riley,10193493.76750000,1
1581,Inez Conley,9552056.51000000,1
3520,Cathleen Rosario,9077286.09750000,1
1490,Jerry Long,9074870.79000000,1
2011,Ellen Carr,8852716.27000000,1
3530,Effie Hale,8834518.86000000,1
189,Olivia Ross,8626775.06000000,1
2184,Vernon Hood,8566289.70000000,1
787,Leo Velasquez,8396754.10000000,1
2268,Debra Bennett,8303002.17450000,1
1664,Dallas Frederick,8253365.85000000,1
49,Joseph Gonzalez,8117457.14000000,1
3783,Dolly Lambert,8033542.82000000,1
613,Bobbie Mccarty,8030261.57000000,1
2216,Elva Roach,7958147.70500000,1
4471,Nicholas Morales,7957593.02000000,1
254,Jeannette Norton,7854346.25200000,1
69,Imogene Conley,7764153.92000000,1
4258,Juan Matthews,7663356.73600000,1
1208,Doris Ruiz,7654478.64250000,1
1575,Effie Hale,7567366.05000000,1
39,Elva Roach,7507584.99000000,1
2520,Etta Rosales,7504896.28850000,1
1814,Joann Sullivan,7495439.22000000,1
1410,Christine Wood,7462744.89000000,1
3687,Evan Chapman,7452079.91000000,1
4562,Gustavo Pitts,7421323.02000000,1
2102,Dave Quinn,7350547.90000000,1
4456,Monte Strong,7330897.97000000,1
3550,Moshe Stein,7285456.97000000,1
3574,Jenny Hardin,7233861.10000000,1
4922,Kurtis Tate,7227353.13000000,1
406,Lucia Mclean,7190149.18000000,1
1033,Kurtis Tate,7186909.64950000,1
2074,Emily King,7097066.85000000,1
1535,Pat Moran,6996262.23000000,1
1756,Emmett Barber,6920830.32350000,1
898,Lenore Gillespie,6913296.26000000,1
3568,Marcia Jennings,6905923.96000000,1
3234,Gerald Bryant,6894095.65000000,1
1750,Eula Lindsey,6889959.96000000,1
4332,Seth Ellis,6810086.82000000,1
184,Rocco Parrish,6799473.01450000,1
3709,Ashley Robinson,6761673.00000000,1
1307,Micheal Mcgee,6749097.82350000,1
3062,Mason Greene,6747972.42000000,1
4487,Bret Hays,6725543.84000000,1
3042,Rena Eldridge,6724961.28000000,1

(50 rows affected)

