=== OP 26 ===
STATUS: PASS  exit=0  elapsed=0.13s  rows=3142

--- STDERR ---


--- STDOUT (tail) ---
us Alexander,2026,NULL,NULL,678614.77000000,NULL
4939,Myrtle Yates,2026,NULL,NULL,213526.27050000,NULL
4941,Melissa Rivera,2026,NULL,NULL,621137.86000000,NULL
4942,Joan Barnes,2026,NULL,NULL,529511.92000000,NULL
4943,Rex Baird,2026,NULL,NULL,179561.98000000,NULL
4947,Andrea Reyes,2026,NULL,NULL,2534921.61000000,NULL
4949,Hector Fuentes,2026,NULL,NULL,678050.91000000,NULL
4950,Shirley Rogers,2026,NULL,NULL,4391767.91250000,NULL
4951,Tommy Oneal,2026,NULL,NULL,791493.78000000,NULL
4953,Leila Roth,2026,NULL,NULL,651939.80000000,NULL
4954,Laura Parker,2026,NULL,NULL,2053344.21400000,NULL
4955,Aaron Powell,2026,NULL,NULL,250967.23000000,NULL
4956,Karen Moore,2026,NULL,NULL,646573.84000000,NULL
4957,Irma Farrell,2026,NULL,NULL,188775.98000000,NULL
4960,Manuel Klein,2026,NULL,NULL,1092622.18100000,NULL
4961,Stephanie Roberts,2026,NULL,NULL,15626.97000000,NULL
4963,Jessica Wilson,2026,NULL,NULL,6184953.79350000,NULL
4966,Gary Stewart,2026,NULL,NULL,793257.79250000,NULL
4967,Salvatore Odonnell,2026,NULL,NULL,3664840.33000000,NULL
4969,Mable Norton,2026,NULL,NULL,2141124.80000000,NULL
4971,Marcia Jennings,2026,NULL,NULL,3475223.44000000,NULL
4972,Jessica Wilson,2026,NULL,NULL,25976.79000000,NULL
4973,Rolland Buck,2026,NULL,NULL,2417916.29000000,NULL
4977,Maria Garcia,2026,NULL,NULL,4399202.25000000,NULL
4978,Marcie Franco,2026,NULL,NULL,90725.98000000,NULL
4979,Patrick Price,2026,NULL,NULL,2050333.78000000,NULL
4981,Timothy Gomez,2026,NULL,NULL,445211.94000000,NULL
4982,Iva Wolf,2026,NULL,NULL,5468147.10000000,NULL
4984,Jacob Collins,2026,NULL,NULL,254603.58000000,NULL
4985,Rolando Herman,2026,NULL,NULL,5858341.55000000,NULL
4986,Jeannette Norton,2026,NULL,NULL,5302722.36600000,NULL
4989,Shirley Rogers,2026,NULL,NULL,2058635.69000000,NULL
4991,Curt Macdonald,2026,NULL,NULL,1870239.68000000,NULL
4992,Leigh Leach,2026,NULL,NULL,308393.73000000,NULL
4995,Chase Fernandez,2026,NULL,NULL,76463.98000000,NULL
4998,Ruby Stone,2026,NULL,NULL,1251275.78000000,NULL

(3142 rows affected)

